"receiver","balance"
0x84197fa35061a353FDfab8eE125beE39668c056B,183780911350501784757
0xf793859eC763477EE2f282186eBB2Fb2E6A71BbA,66462761548380008401
0x05745Ca3Ac6FFCB336Fcf57e270E67a5eCf06175,20141427248482865606
0xfACbEb3a6422116bbcC9F91f877fc2365076e38E,10070713624241432803
0x0404b120a4006ec07f008905b7DC6A141EDDDB5a,9916335164632514889
0xbC64827ddfD207bE92435Ac1c378f68571dD798C,5393389736026725231
0x1858C0c5C0a5E18232b22CED0095b7E3dD8A7eDC,5337478220847959385
0x423bF3038EAEE9cB3880DDdc44b8AaA543Aa5B4A,4033122478796124406
0x80b26Ea44bAB3d39516094b479B9565D9E80d4C6,2874475221185402254
0x7701eA24fF3F7f2d27a490Fd56be79f934A513Dc,2678813599383998043
0xF70fEAa153A0Ffc391525c1226d6E0f00eDF9974,1812731750029264781
0x263a8a1297582c307A008DE90372fbC98bEC1BA8,1349475625648351995
0xbFA0D7729e99ecE0a64aad8a2f7eD54fDC122656,1090796868109576637
0xf7AeF5FC0F5d6b030c417d6a44fCc23497Cd3E0a,1007071582811105999
0x8967E0eAd53C4A4c60fd1aDE925bdBe0c93D58fE,1001263310813424207
0x3Fdb50F723Ceb370470D314Ed05C22D7359BE529,991633516463251489
0xdC4F10b35dA60b5E23D43dd7dCa7a4b890AdE2B8,773540848411641868
0xaB545C8EB7aEbeb4f73B68503245E7050b7B8c19,654181807949759027
0xf4bEC3e032590347Fc36AD40152C7155f8361d39,662091620793851704
0x5EF7F250f74d4F11A68054AE4e150705474a6D4a,588699669894215860
0xB389efe19DA39DeD65657736E4ed298017d9238C,542789435534045324
0x8E69F1E96658D5820FCd56584F169b6a274C3330,503536597230351328
0x28170471dEC2A738301A2D792072817EE23b45C5,503536582776112990
0xeafb327dAf090C3FDd1f9fE8F435d2106D81B8F2,486613177139063274
0x40F61a408D6F05e74c454DF0542754ED2232F48C,473323540339347341
0x3B0702b7664649321FB22174B48F1220f723810D,445545180564934775
0x67364e192dC953AA4C298E334f519Aa8d85b114f,437379682754700184
0xD1ecDFc524ddbb8d32Ad62F4a2f5554cb92afEC5,398989051980208041
0x555eEe16ef32EE87c46a50c0227a3BFA89e45EF9,251767840606035820
0x29920a39e695B45F693139382e90Ead7ad9CAe18,149042579233633669
0x290226b6B5C6daAe68a57e626481E7caF900F754,146951580442766239
0x417575a099Bf120A31356E99cb41Fa32B9C2a92d,100707154041492544
0xD87d8537494e703eB56d852c74726fbaDff4B818,100383452408896721
0x7DA64Ba376697a73380289F60dAb556E3cc1D632,99341033162433397
0x2319ad98c36dfBcd5e99a99685B317A71e14FCB6,59406024075324636
0x4AFeD450a0DB5483A7F70bfbCf0B5231A5e5899F,55358603047334116
0x4B3dE3a8F39AC986445Df67306001166710e98E3,50353568121207164
0x78173cAdc97432e09d6D00d7894b4074B83762C3,49680859744544556
0x15Bd2c4E267aE8E24D964C1a92CD16Bce9583127,49581675823162574
0x549F317C3dC64886c947e345181F70a7CF65F4B6,49541629120716903
0x91d45C9aC90c240062488364Ecec5E6Cb46d3f89,39851276052275590
0x0141FE1110c12563DBe4E6161A1bC29Af98EA1a7,19903049827608653
0x5Fe1d48622140c84FD89f8b01093de086C9798F5,18036650470000000
0x8C05776Efb1f4692164F5D6AFf986b39bf5F4651,18036650470000000
0xa368C967c5eF51cCa5769bCC20A86faCa042B1F6,18036650470000000
0x6b477e1EBbfbcd09b3FD3A48F32F0ce9c991581B,10021895532183467
0xAe7B63DAd95581947d2925A9e62E57CCbb2dA046,9968088170404660
0x3D8a8980aC68554Da0AF80972ab992628B500808,9936171948908911
0x5a69428DfE7aF2E64bc40e065E139CAf8FDb09B6,8168328310357137
0xB232b6791d83fCe7a99222c63a525c88c227A53D,7025090490940019
0xf1F51F6Af1eaE25c1c135c1Ed79c9917E4257F4a,6558000000000000
0xE0435d8a38817F2522C8eC2d7ECF0b3b0A36C2cF,6558000000000000
0xE24762F571FdE7c2976F4dc16384Aa6908BB9B01,6558000000000000
0x82D913CBa9E05210f23D6Ad6541e16AA07E82381,6558000000000000
0x382e8F34dC9821b55202DEdd2FeD738FF578E196,6558000000000000
0x5e94B9F280fCF1872e5c1ACA6Cb2077fd4AecBfb,6558000000000000
0x82C4Bcd68508228D94959b3DbB912d8855a9B594,6558000000000000
0x4991c2E4604E4b98D58bFEC26909C5f555772531,6558000000000000
0x69382C920955F400BF26Bdc0C4F8729c83A679c2,6558000000000000
0x1BD875c8F99f385e7f359f3EF23EF217ba5BC20F,6558000000000000
0xC431f1a982c3EBc18E7Bfea5e20e7a89AE98294A,6558000000000000
0xA295fcb7a0C76972D586a61BA7a9f292f9d2a466,6558000000000000
0x8af764586e2Bd2BE98FB229F058f329D21f26C2a,6558000000000000
0x97654173D2b4340F3044ba8DbA58829701c4eFCA,6558000000000000
0x2AEfdC07aD78D5e78C8E32b4f7c018bc6d3CEf0a,6558000000000000
0x42B0324918159Bc1DDb4CAC392b1418Ec8AA2723,6558000000000000
0xCD803e594Ad5cCf2060710ee00e95f65e07040bc,6558000000000000
0x7b90FeBfDDdFCBF22DB7BEcD6f2590b951363d3d,6558000000000000
0x2DBD99d8Aec546ae171A68967354C5F6eA4D8A7f,6558000000000000
0x0f07D80641f015181DCD85A504b2B400F1859C07,6500000000000000
0xB5923cf3bba441F52578944603Ac62E773cb9bea,4969091952946723
0x10B850C3abFca78d693C9cD6FcE809c129109d1c,3524749768484501
0x036d6794fdDE4b5c4ED216503d0717783dF900AA,1957462615053209
