"receiver","v1Balance","allowanceToMigration","includedInMigration","registeredBalanceInMigration"
0x0482bb438b284a20e2384a07e3ccc83a968c4fc4,1112802,0,false,0
0x1da8aa5bb6fe6816fc19925772edd543641bddb2,59000985,0,false,0
0x391e2c5a47a7f30bc817ec166c2e52564840869c,653548,0,false,0
0x3d8a8980ac68554da0af80972ab992628b500808,2549326,0,false,0
0x40f61a408d6f05e74c454df0542754ed2232f48c,816640179,816640179,false,0
0x4d84f344b6c805c115b5b4473659202cb52de628,575398970,0,false,0
0x51458ef762808685091c96d628c45f392c9b7994,10342952,0,false,0
0x5ef7f250f74d4f11a68054ae4e150705474a6d4a,202286793,0,false,0
0x5f1283130065eecb7604a769f28d7e761e69bfd8,38901330,0,false,0
0x6568d65a8cb74a21f8cd7f6832e71ab1e390f25e,10768877,0,false,0
0x6b477e1ebbfbcd09b3fd3a48f32f0ce9c991581b,10000000,0,false,0
0x7e1aeb6a32a9c30e6ce393382417d6726a52b7e8,3540591,0,false,0
0x7eab4dd865c7fa23a7e86da487f8633432c3d942,50751809,0,false,0
0x862a07ae0f2cc9e8ad72f0a08e06962cfd76e0f0,73617446,0,false,0
0x862cf6b1b44681c5207ec70d3f116904f12b8bf3,20293424,0,false,0
0xb9076ac54d4059661a24ff1831e8719a98eb8fc7,62356163,0,false,0
0xc0496fe72226e6463a30cf0e0f0b5be525262b4e,856419857,856419857,false,0
0xcbd0016b0e5d5a56a4ceff5e22d0fb6f28bb1c0d,109941762,0,false,0
0xcc112a107abe98901b9efd9ac4880a143df48083,2844250,0,false,0
0xee61b69a3f4abfc8f28d418306fab1f846d8a3be,115345020,0,false,0
0xf4bec3e032590347fc36ad40152c7155f8361d39,3064137925,0,false,0
