"receiver","v1Balance","allowanceToMigration","includedInMigration","registeredBalanceInMigration"
0x05745ca3ac6ffcb336fcf57e270e67a5ecf06175,20141427248482865606,0,false,0
0x263a8a1297582c307a008de90372fbc98bec1ba8,1349475625648351995,0,false,0
0xe45b077da9112761f0d7f5c5015a406af7abab1b,1285922525554007031,1285922525554007031,false,0
0x8967e0ead53c4a4c60fd1ade925bdbe0c93d58fe,1001263310813424207,0,false,0
0xf4da35150e4114dbe173d53cfc5d6d3ce540ab6d,989171173503082331,0,false,0
0xf4bec3e032590347fc36ad40152c7155f8361d39,662091620793851704,0,false,0
0x5ef7f250f74d4f11a68054ae4e150705474a6d4a,589604312742627501,0,false,0
0x28170471dec2a738301a2d792072817ee23b45c5,503536582776112990,0,false,0
0xeafb327daf090c3fdd1f9fe8f435d2106d81b8f2,486613177139063274,0,false,0
0x40f61a408d6f05e74c454df0542754ed2232f48c,473323540339347341,473323540339347328,false,0
0x3b0702b7664649321fb22174b48f1220f723810d,445545180564934775,0,false,0
0x67364e192dc953aa4c298e334f519aa8d85b114f,437379682754700184,0,false,0
0xc0496fe72226e6463a30cf0e0f0b5be525262b4e,316212015732624148,316212015732624148,false,0
0x555eee16ef32ee87c46a50c0227a3bfa89e45ef9,251767840606035820,0,false,0
0x290226b6b5c6daae68a57e626481e7caf900f754,146951580442766239,146950000000000000,false,0
0x7da64ba376697a73380289f60dab556e3cc1d632,99341033162433397,0,false,0
0x78173cadc97432e09d6d00d7894b4074b83762c3,49680859744544556,0,false,0
0x0141fe1110c12563dbe4e6161a1bc29af98ea1a7,19903049827608653,0,false,0
0x5fe1d48622140c84fd89f8b01093de086c9798f5,18036650470000000,0,false,0
0x8c05776efb1f4692164f5d6aff986b39bf5f4651,18036650470000000,0,false,0
0xa368c967c5ef51cca5769bcc20a86faca042b1f6,18036650470000000,0,false,0
0x30713a9895e150d73fb7676d054814d30266f8f1,14807862762501096,0,false,0
0x6b477e1ebbfbcd09b3fd3a48f32f0ce9c991581b,10021895532183467,0,false,0
0x3d8a8980ac68554da0af80972ab992628b500808,9936171948908911,0,false,0
0x5a69428dfe7af2e64bc40e065e139caf8fdb09b6,8168328310357137,0,false,0
0x10b850c3abfca78d693c9cd6fce809c129109d1c,3524749768484501,0,false,0
