"HolderAddress","Balance","PendingBalanceUpdate"
"0x11808cf0413493373f162b0378c0c4b22abf7b0f","7,146.780306","No"
"0xf4bec3e032590347fc36ad40152c7155f8361d39","6,709.337892","No"
"0xad76c25d3d7cac4bd77a4c1a51a168148411bf80","2,554.90038","No"
"0x263a8a1297582c307a008de90372fbc98bec1ba8","1,888.597014","No"
"0xe6f238f3f50a4ef83e4b0cde9478bfe49c5717a9","1,577.050977","No"
"0x8967e0ead53c4a4c60fd1ade925bdbe0c93d58fe","1,015.786681","No"
"0x5ef7f250f74d4f11a68054ae4e150705474a6d4a","970.793562","No"
"0x4d84f344b6c805c115b5b4473659202cb52de628","629.579786","No"
"0xba74fbe1e5ef67271ac76435e0e32bf94a950f53","616.383948","No"
"0x9c75f87080c1d615cee2771e9489203699b3c1d3","601.346046","No"
"0xd67451bd22cfca3502748f19ffe238eafac5ab70","567.549569","No"
"0x3da8cddd524eaf5c908f2366b3c412c0da1febd6","350.193752","No"
"0x8fb7b34db316353f4cc8855c9d3bdfb859562f91","301.7155","No"
"0x3acaf50e05e68cc2efddd73315c6c09a1034bb2a","295.499165","No"
"0x439934821a6bcff8b285b5a0e0e46cf8c851fcbb","263.821474","No"
"0x6676773ecc9b6876e72d080c47ec1ce03959fc87","106.310136","No"
"0xbc02939d916724e232ebc54b3d49adc83fffcad0","100.573302","No"
"0x0468c3183e52fdb2c8028434cdddb77d6df10426","100.551814","No"
"0x85cf1ceb982eb9de0c8a76b76a9b132d22538cda","100.51149","No"
"0x8a7bb9187d769f32959b9cbc744e1fc0edd95bc0","99.763013","No"
"0x0f2ede90f84d2f820c967c30842f8295e5f559b1","91.972623","No"
"0x2b6bcdb2c67b905d094ec34dfb1deb54569e2767","90.515972","No"
"0x291e4ebb46c04d87c2fb10582b20e9258a1a83f8","82.723983","No"
"0x895e535f386cc8e9f2d36e590128c55edef28e99","79.724179","No"
"0xca29302dfd9041bb151151ff20d41c0534d00caa","71.16121","No"
"0x817d03c548ffabd3cf19a465c1c7e0b2834939a3","64.104767","No"
"0xd5983d35174e13521b6faad85bec792bf3cd12a4","59.489789","No"
"0x0eb83fd4801af7207c454c84a139c8bc91c54436","50.286651","No"
"0x3d8a8980ac68554da0af80972ab992628b500808","36.970635","No"
"0xe6c476609e34740249ba442b8215279c5541ce66","36.295839","No"
"0x44b473824a4ddd9beea55ce934142c354a7b84c9","35.799709","No"
"0x21a02f0fb67bcceaaebec80304bec0a92d2797e1","25.143325","No"
"0x7611ae67894523755f688b27ed36e2ddf3026269","22.90172","No"
"0x603888f610afeccf1572151516f8c8d880105543","18.769219","No"
"0x151f1c8b447ee78eeacedda368913b6601e415e1","5.628996","No"
"0xfb3375d76cd1c487ee721a92342f9f59ef41e028","2.705517","No"
"0x0a48c3a67c7dda56ad486f3cd03304ae04b50db8","0.829466","No"
"0x42a22772dec0cae3b30658fb880f9cd07397c637","0.000003","No"
