"HolderAddress","Balance","PendingBalanceUpdate"
"0x02b5cb2b6128fcc534421c0f8c9f815916455f1f","7.241449","No"
"0x036d6794fdde4b5c4ed216503d0717783df900aa","0.735507","No"
"0x05f6875132b910976ee165171b78d7965e0fbf5c","0.320156","No"
"0x08098e8b358e2d32928ce5eae5a558c8bc5c4947","67.955202","No"
"0x184abefbdca24ce0dd964a74f6d5e69ce44d9579","0.01136","No"
"0x291ba9b9a3b822c35086124fbf5b414f28918759","7.943356","No"
"0x3c13d5d2739351bde2d9d27a923f78a349009a68","1.364097","No"
"0x40f61a408d6f05e74c454df0542754ed2232f48c","816.640179","No"
"0x522f7bb9291abbdf7743df72c67bed55d7eb4d33","930.183823","No"
"0x549f317c3dc64886c947e345181f70a7cf65f4b6","84.863709","No"
"0x57186d47bb7b65d35e28591130aacbd115fadff1","209.60841","No"
"0x6426bbb2f37020f4a4541c9c9c61ddf98fbdaa70","0.079475","No"
"0x730d0f6538d6b686412721283d745a692a21e322","8.688995","No"
"0x805ebb94084e01da57c4bc70b6fe414af9148596","5.742018","No"
"0x817c36fe1e3ef213c7e02322886303d263fc731a","2.14328","No"
"0x8a37e1808d34f75db5807198c1a627e048813831","3.238776","No"
"0x9ca627de8e06213671b6166717c8cf876c1d7808","103.80339","No"
"0xa79ea128aa42e045e71c83f33aecca47664f8a9b","3","No"
"0xadde003ffd308930c7f1d00511d6783ff80988ed","2.172544","No"
"0xb232b6791d83fce7a99222c63a525c88c227a53d","18.294058","No"
"0xb389efe19da39ded65657736e4ed298017d9238c","1097.267671","No"
"0xc7f5e62623557f30d8d5bc2d24366c753b71332a","1191.714426","No"
"0xcbd0016b0e5d5a56a4ceff5e22d0fb6f28bb1c0d","88.798426","No"
"0xd6f3c32f5e6e1e1eb9e0ea16fe5e86a95a126ed8","59.414743","No"
"0xe38fe4f0ace65aa1e8cec95ab8818ecaa87cd8a9","144.518988","No"
"0xea69f37be0ecb8e2f41699b112168543b4410ada","1135.746184","No"
"0xeecc571e2492ad0947c91486cfd758e0405dd79c","138.741875","No"
"0xf1fe0a34e66d684f182a0886f795e5f22d0e64b6","0.190576","No"
"0xf2acbabd7283918295c2abcf23287bef1b94c5ae","733.173408","No"
"0xf4bec3e032590347fc36ad40152c7155f8361d39","84.147738","No"
"0xf793859ec763477ee2f282186ebb2fb2e6a71bba","82526.96342","No"
"0xf7aef5fc0f5d6b030c417d6a44fcc23497cd3e0a","2550.418103","No"
