"receiver","balance"
0x02b5CB2B6128fCC534421c0F8c9f815916455F1F,7.1835484553999995
0x036d6794fdDE4b5c4ED216503d0717783dF900AA,0.7296240905
0x05f6875132b910976ee165171b78D7965e0fBF5C,0.3175427211
0x08098E8B358E2d32928ce5eAE5a558c8bc5C4947,67.412107505
0x184AbEfBdCa24Ce0Dd964a74f6d5E69CE44D9579,0.0112097243
0x291ba9b9A3B822C35086124FBf5b414F28918759,7.8798409763
0x3C13d5D2739351Bde2D9d27A923f78a349009a68,1.353103004
0x40F61a408D6F05e74c454DF0542754ED2232F48C,810.11586304
0x522f7bb9291aBbdF7743DF72C67bed55d7EB4D33,922.74879198
0x549F317C3dC64886c947e345181F70a7CF65F4B6,84.185029493
0x57186D47Bb7b65d35E28591130aACBd115fADFF1,207.92550559999998
0x6426bBB2F37020f4a4541C9c9C61dDF98fbdaA70,0.0787656734
0x730D0f6538D6B686412721283D745A692a21E322,8.6194843779
0x805EBB94084e01da57c4bc70B6FE414aF9148596,5.696127162
0x817C36fE1e3ef213C7e02322886303d263FC731a,2.1260779752000003
0x8A37E1808D34f75Db5807198c1A627e048813831,3.2128260257
0x9Ca627DE8E06213671B6166717C8Cf876C1D7808,102.9707418
0xa79Ea128AA42E045E71C83f33aeCcA47664f8A9b,2.976033
0xADde003fFd308930c7f1d00511D6783FF80988ed,2.1551438975
0xB232b6791d83fCe7a99222c63a525c88c227A53D,18.147849234
0xB389efe19DA39DeD65657736E4ed298017d9238C,1088.4344692
0xc7F5E62623557f30d8D5bc2d24366C753b71332A,1182.1795087
0xCbD0016B0e5d5A56a4ceff5E22D0fB6F28Bb1C0d,88.088592778
0xD6f3c32f5E6e1e1eB9e0EA16fe5e86A95a126ED8,58.939341554
0xe38fE4f0aCe65aA1E8cEC95AB8818eCAa87Cd8A9,143.35550960999998
0xea69F37Be0eCB8E2f41699b112168543B4410ADa,1126.6268927
0xEECc571E2492Ad0947c91486cFD758E0405Dd79C,137.63160614
0xf1FE0A34e66d684F182a0886F795e5F22D0e64B6,0.1889780955
0xf2acBAbD7283918295C2aBcf23287beF1b94C5AE,727.31270487
0xf4bEC3e032590347Fc36AD40152C7155f8361d39,83.474749617
0xf793859eC763477EE2f282186eBB2Fb2E6A71BbA,81866.699786
0xf7AeF5FC0F5d6b030c417d6a44fCc23497Cd3E0a,2530.0248544
