"receiver","balance"
0x02b5CB2B6128fCC534421c0F8c9f815916455F1F,7241449
0x036d6794fdDE4b5c4ED216503d0717783dF900AA,735507
0x05f6875132b910976ee165171b78D7965e0fBF5C,320156
0x08098E8B358E2d32928ce5eAE5a558c8bc5C4947,67955202
0x184AbEfBdCa24Ce0Dd964a74f6d5E69CE44D9579,11360
0x291ba9b9A3B822C35086124FBf5b414F28918759,7943356
0x3C13d5D2739351Bde2D9d27A923f78a349009a68,1364097
0x40F61a408D6F05e74c454DF0542754ED2232F48C,816640179
0x522f7bb9291aBbdF7743DF72C67bed55d7EB4D33,930183823
0x549F317C3dC64886c947e345181F70a7CF65F4B6,84863709
0x57186D47Bb7b65d35E28591130aACBd115fADFF1,209608410
0x6426bBB2F37020f4a4541C9c9C61dDF98fbdaA70,79475
0x730D0f6538D6B686412721283D745A692a21E322,8688995
0x805EBB94084e01da57c4bc70B6FE414aF9148596,5742018
0x817C36fE1e3ef213C7e02322886303d263FC731a,2143280
0x8A37E1808D34f75Db5807198c1A627e048813831,3238776
0x9Ca627DE8E06213671B6166717C8Cf876C1D7808,103803390
0xa79Ea128AA42E045E71C83f33aeCcA47664f8A9b,3000000
0xADde003fFd308930c7f1d00511D6783FF80988ed,2172544
0xB232b6791d83fCe7a99222c63a525c88c227A53D,18294058
0xB389efe19DA39DeD65657736E4ed298017d9238C,1097267671
0xc7F5E62623557f30d8D5bc2d24366C753b71332A,1191714426
0xCbD0016B0e5d5A56a4ceff5E22D0fB6F28Bb1C0d,88798426
0xD6f3c32f5E6e1e1eB9e0EA16fe5e86A95a126ED8,59414743
0xe38fE4f0aCe65aA1E8cEC95AB8818eCAa87Cd8A9,144518988
0xea69F37Be0eCB8E2f41699b112168543B4410ADa,1135746184
0xEECc571E2492Ad0947c91486cFD758E0405Dd79C,138741875
0xf1FE0A34e66d684F182a0886F795e5F22D0e64B6,190576
0xf2acBAbD7283918295C2aBcf23287beF1b94C5AE,733173408
0xf4bEC3e032590347Fc36AD40152C7155f8361d39,84147738
0xf793859eC763477EE2f282186eBB2Fb2E6A71BbA,82526963420
0xf7AeF5FC0F5d6b030c417d6a44fCc23497Cd3E0a,2550418103
0xeE61B69a3F4aBFC8F28d418306Fab1F846d8A3BE,115340000
0xcc112a107ABe98901B9EfD9ac4880A143dF48083,2844200
0xb9076Ac54D4059661a24Ff1831E8719A98eB8FC7,62356000
0x862cf6b1B44681C5207eC70d3F116904F12B8BF3,20293000
0x862A07AE0f2cc9e8AD72F0a08e06962cFD76e0f0,73617000
0x7eab4Dd865C7fa23a7e86dA487F8633432C3d942,50751000
0x7E1AEb6a32a9c30E6Ce393382417D6726a52b7E8,3540500
0x6b477e1EBbfbcd09b3FD3A48F32F0ce9c991581B,10000000
0x6568d65a8CB74A21F8cd7F6832E71Ab1E390f25E,10768000
0x5F1283130065eEcB7604a769F28D7E761E69bFd8,38901000
0x5EF7F250f74d4F11A68054AE4e150705474a6D4a,202450000
0x51458ef762808685091C96D628C45f392c9B7994,10342000
0x4d84f344B6c805c115B5b4473659202cB52de628,575390000
0x3D8a8980aC68554Da0AF80972ab992628B500808,2549300
0x391E2c5a47a7F30bc817EC166c2e52564840869C,653500
0x0482Bb438b284a20E2384A07E3ccc83A968c4fC4,1112800
