"receiver","balance"
0xf793859eC763477EE2f282186eBB2Fb2E6A71BbA,66418535713300008401
0x84197fa35061a353FDfab8eE125beE39668c056B,62000011350501784757
0x05745Ca3Ac6FFCB336Fcf57e270E67a5eCf06175,20141427248482865606
0xfACbEb3a6422116bbcC9F91f877fc2365076e38E,10070713624241432803
0xbC64827ddfD207bE92435Ac1c378f68571dD798C,5393389736026725231
0x1858C0c5C0a5E18232b22CED0095b7E3dD8A7eDC,5337478220847959385
0x80b26Ea44bAB3d39516094b479B9565D9E80d4C6,4642621430869644734
0x423bF3038EAEE9cB3880DDdc44b8AaA543Aa5B4A,4033122478796124406
0x7701eA24fF3F7f2d27a490Fd56be79f934A513Dc,2678813599383998043
0xF70fEAa153A0Ffc391525c1226d6E0f00eDF9974,1812731750029264781
0x8E69F1E96658D5820FCd56584F169b6a274C3330,1331642059141715625
0xf2acBAbD7283918295C2aBcf23287beF1b94C5AE,1205575484226133260
0xf7AeF5FC0F5d6b030c417d6a44fCc23497Cd3E0a,1007071582811105999
0x3Fdb50F723Ceb370470D314Ed05C22D7359BE529,991633516463251489
0xaB545C8EB7aEbeb4f73B68503245E7050b7B8c19,654181807949759027
0xB389efe19DA39DeD65657736E4ed298017d9238C,542789435534045324
0x40F61a408D6F05e74c454DF0542754ED2232F48C,498862757887367732
0xf4bEC3e032590347Fc36AD40152C7155f8361d39,471471912356971571
0xD1ecDFc524ddbb8d32Ad62F4a2f5554cb92afEC5,398989051980208041
0x67364e192dC953AA4C298E334f519Aa8d85b114f,388150927796420049
0xA8735830C77d9cf4Bd9A3acC75DB41Ee045bFD14,244751958447265749
0xC0496FE72226E6463A30Cf0E0f0B5BE525262B4E,216212015732624148
0x29920a39e695B45F693139382e90Ead7ad9CAe18,149042579233633669
0x417575a099Bf120A31356E99cb41Fa32B9C2a92d,100707154041492544
0xD87d8537494e703eB56d852c74726fbaDff4B818,100383452408896721
0xCc77f18A2a1fD216C7C225BC4096249bFA8e501c,98025279737765847
0x4AFeD450a0DB5483A7F70bfbCf0B5231A5e5899F,55358603047334116
0x78173cAdc97432e09d6D00d7894b4074B83762C3,49680859744544556
0x15Bd2c4E267aE8E24D964C1a92CD16Bce9583127,49581675823162574
0x549F317C3dC64886c947e345181F70a7CF65F4B6,49541629120716903
0xFBD4C3D8bE6B15b7cf428Db2838bb44C0054fCd2,45606078263275514
0x91d45C9aC90c240062488364Ecec5E6Cb46d3f89,39851276052275590
0xEB20d24d42110B586B3bc433E331Fe7CC32D1471,9999999997027404
0xAe7B63DAd95581947d2925A9e62E57CCbb2dA046,9968088170404660
0xB232b6791d83fCe7a99222c63a525c88c227A53D,7025090490940019
0xB5923cf3bba441F52578944603Ac62E773cb9bea,4969091952946723
0x036d6794fdDE4b5c4ED216503d0717783dF900AA,1957462615053209
0x805EBB94084e01da57c4bc70B6FE414aF9148596,1481095266330372
0xa368C967c5eF51cCa5769bCC20A86faCa042B1F6,18036650000000000
0x8C05776Efb1f4692164F5D6AFf986b39bf5F4651,18036650000000000
0x8967E0eAd53C4A4c60fd1aDE925bdBe0c93D58fE,1015786700000000000000
0x6b477e1EBbfbcd09b3FD3A48F32F0ce9c991581B,10021895000000000
0x5Fe1d48622140c84FD89f8b01093de086C9798F5,18036650000000000
0x5EF7F250f74d4F11A68054AE4e150705474a6D4a,971423160000000000000
0x5a69428DfE7aF2E64bc40e065E139CAf8FDb09B6,8168329000000000
0x555eEe16ef32EE87c46a50c0227a3BFA89e45EF9,251767840000000000
0x3D8a8980aC68554Da0AF80972ab992628B500808,36970634000000000000
0x3B0702b7664649321FB22174B48F1220f723810D,445545170000000000
0x30713a9895E150D73fB7676D054814d30266F8F1,14807863000000000
0x290226b6B5C6daAe68a57e626481E7caF900F754,146951590000000000
0x28170471dEC2A738301A2D792072817EE23b45C5,503536600000000000
0x263a8a1297582c307A008DE90372fbC98bEC1BA8,1888597000000000000000
0x10B850C3abFca78d693C9cD6FcE809c129109d1c,3524749800000000
0x0141FE1110c12563DBe4E6161A1bC29Af98EA1a7,19903050000000000
0xFB3375d76Cd1C487eE721A92342F9f59EF41e028,2705517000000000000
0xE6f238F3f50a4eF83e4b0cde9478BFE49c5717A9,1577051000000000000000
0xe6c476609E34740249ba442B8215279C5541cE66,36295837000000000000
0xd67451Bd22CfCA3502748f19Ffe238EAfaC5aB70,567549560000000000000
0xD5983D35174E13521B6fAAD85BEC792BF3CD12a4,59489788000000000000
0xCa29302DFd9041bB151151fF20d41c0534d00CAA,71161210000000000000
0xbc02939D916724e232ebC54B3d49ADc83fFfcad0,100573300000000000000
0x9c75f87080c1D615cee2771e9489203699b3C1d3,601346070000000000000
0x8FB7b34Db316353f4CC8855C9D3BDFb859562f91,301715500000000000000
0x8a7bb9187D769f32959B9cbc744E1FC0edD95bc0,99763016000000000000
0x895E535f386CC8e9F2D36e590128c55EdeF28E99,79724180000000000000
0x85Cf1ceb982Eb9de0c8a76B76A9b132D22538CDA,100511490000000000000
0x817D03c548fFabd3CF19a465C1C7e0B2834939a3,64104770000000000000
0x7611AE67894523755f688b27ed36e2DdF3026269,22901720000000000000
0x6676773eCc9b6876E72d080C47eC1Ce03959fC87,106310135000000000000
0x603888f610AfeCCf1572151516F8C8d880105543,18769218000000000000
0x44b473824a4ddd9beea55Ce934142c354a7b84c9,35799710000000000000
0x42A22772deC0cAe3B30658fB880f9Cd07397c637,3000000000000
0x3DA8CDdd524eaf5C908f2366B3c412C0da1fEbD6,350193760000000000000
0x3aCaf50E05e68CC2eFdDD73315c6c09A1034BB2A,295499180000000000000
0x2b6BcDB2C67B905D094ec34dfb1DEb54569E2767,90515970000000000000
0x291E4eBB46C04d87c2fB10582b20E9258A1a83f8,82723980000000000000
0x21A02F0fB67BccEaAEbec80304bEc0A92D2797e1,25143326000000000000
0x151F1c8b447eE78EEAcEdda368913B6601E415E1,5628996000000000000
0x0f2Ede90F84d2f820c967C30842f8295E5f559B1,91972626000000000000
0x0EB83fD4801AF7207c454c84a139C8bc91c54436,50286650000000000000
0x0A48c3a67c7Dda56aD486f3CD03304AE04B50db8,829466000000000000
