"receiver","balance"
0x02b5CB2B6128fCC534421c0F8c9f815916455F1F,7241400
0x036d6794fdDE4b5c4ED216503d0717783dF900AA,735500
0x05f6875132b910976ee165171b78D7965e0fBF5C,320100
0x08098E8B358E2d32928ce5eAE5a558c8bc5C4947,67955000
0x184AbEfBdCa24Ce0Dd964a74f6d5E69CE44D9579,11300
0x291ba9b9A3B822C35086124FBf5b414F28918759,7943300
0x3C13d5D2739351Bde2D9d27A923f78a349009a68,1364000
0x40F61a408D6F05e74c454DF0542754ED2232F48C,816640000
0x522f7bb9291aBbdF7743DF72C67bed55d7EB4D33,930180000
0x549F317C3dC64886c947e345181F70a7CF65F4B6,84863000
0x57186D47Bb7b65d35E28591130aACBd115fADFF1,209600000
0x6426bBB2F37020f4a4541C9c9C61dDF98fbdaA70,79400
0x730D0f6538D6B686412721283D745A692a21E322,8688900
0x805EBB94084e01da57c4bc70B6FE414aF9148596,5742000
0x817C36fE1e3ef213C7e02322886303d263FC731a,2143200
0x8A37E1808D34f75Db5807198c1A627e048813831,3238700
0x9Ca627DE8E06213671B6166717C8Cf876C1D7808,103800000
0xa79Ea128AA42E045E71C83f33aeCcA47664f8A9b,3000000
0xADde003fFd308930c7f1d00511D6783FF80988ed,2172500
0xB232b6791d83fCe7a99222c63a525c88c227A53D,18294000
0xB389efe19DA39DeD65657736E4ed298017d9238C,1097200000
0xc7F5E62623557f30d8D5bc2d24366C753b71332A,1191700000
0xCbD0016B0e5d5A56a4ceff5E22D0fB6F28Bb1C0d,88798000
0xD6f3c32f5E6e1e1eB9e0EA16fe5e86A95a126ED8,59414000
0xe38fE4f0aCe65aA1E8cEC95AB8818eCAa87Cd8A9,144510000
0xea69F37Be0eCB8E2f41699b112168543B4410ADa,1135700000
0xEECc571E2492Ad0947c91486cFD758E0405Dd79C,138740000
0xf1FE0A34e66d684F182a0886F795e5F22D0e64B6,190500
0xf2acBAbD7283918295C2aBcf23287beF1b94C5AE,733170000
0xf4bEC3e032590347Fc36AD40152C7155f8361d39,84147000
0xf793859eC763477EE2f282186eBB2Fb2E6A71BbA,82526000000
0xf7AeF5FC0F5d6b030c417d6a44fCc23497Cd3E0a,2550400000
