"receiver","balance"
0xf793859eC763477EE2f282186eBB2Fb2E6A71BbA,66418530000000000000
0x84197fa35061a353FDfab8eE125beE39668c056B,62000010000000000000
0x05745Ca3Ac6FFCB336Fcf57e270E67a5eCf06175,20141427248482865606
0xfACbEb3a6422116bbcC9F91f877fc2365076e38E,10070713624241432803
0xbC64827ddfD207bE92435Ac1c378f68571dD798C,5393389700000000000
0x1858C0c5C0a5E18232b22CED0095b7E3dD8A7eDC,5337478000000000000
0x80b26Ea44bAB3d39516094b479B9565D9E80d4C6,4642621430869644734
0x423bF3038EAEE9cB3880DDdc44b8AaA543Aa5B4A,4033122478796124406
0x7701eA24fF3F7f2d27a490Fd56be79f934A513Dc,2678813599383998043
0xF70fEAa153A0Ffc391525c1226d6E0f00eDF9974,1812731700000000000
0x8E69F1E96658D5820FCd56584F169b6a274C3330,1331642000000000000
0xf2acBAbD7283918295C2aBcf23287beF1b94C5AE,1205575484226133260
0xf7AeF5FC0F5d6b030c417d6a44fCc23497Cd3E0a,1007071582811105999
0x3Fdb50F723Ceb370470D314Ed05C22D7359BE529,991633516463251489
0xaB545C8EB7aEbeb4f73B68503245E7050b7B8c19,654181800000000000
0xB389efe19DA39DeD65657736E4ed298017d9238C,542789435534045324
0x40F61a408D6F05e74c454DF0542754ED2232F48C,498862740000000000
0xf4bEC3e032590347Fc36AD40152C7155f8361d39,471471912356971571
0xD1ecDFc524ddbb8d32Ad62F4a2f5554cb92afEC5,398989050000000000
0x67364e192dC953AA4C298E334f519Aa8d85b114f,388150927796420049
0xA8735830C77d9cf4Bd9A3acC75DB41Ee045bFD14,244751958447265749
0xC0496FE72226E6463A30Cf0E0f0B5BE525262B4E,216212015732624148
0x29920a39e695B45F693139382e90Ead7ad9CAe18,149042579233633669
0x417575a099Bf120A31356E99cb41Fa32B9C2a92d,100707150000000000
0xD87d8537494e703eB56d852c74726fbaDff4B818,100383450000000000
0xCc77f18A2a1fD216C7C225BC4096249bFA8e501c,98025279737765847
0x4AFeD450a0DB5483A7F70bfbCf0B5231A5e5899F,55358603047334116
0x78173cAdc97432e09d6D00d7894b4074B83762C3,49680859744544556
0x15Bd2c4E267aE8E24D964C1a92CD16Bce9583127,49581675823162574
0x549F317C3dC64886c947e345181F70a7CF65F4B6,49541629120716903
0xFBD4C3D8bE6B15b7cf428Db2838bb44C0054fCd2,45606077000000000
0x91d45C9aC90c240062488364Ecec5E6Cb46d3f89,39851274000000000
0xEB20d24d42110B586B3bc433E331Fe7CC32D1471,9999999997027404
0xAe7B63DAd95581947d2925A9e62E57CCbb2dA046,9968088000000000
0xB232b6791d83fCe7a99222c63a525c88c227A53D,7025090490940019
0xB5923cf3bba441F52578944603Ac62E773cb9bea,4969091952946723
0x036d6794fdDE4b5c4ED216503d0717783dF900AA,1957462600000000
0x805EBB94084e01da57c4bc70B6FE414aF9148596,1481095200000000
